Player,Latitude,Longitude
Wes Saxton,52.48333,-1.9
JP Flynn,35.96,-83.92
Will Sutton,33.875,-117.566
Cedric Thornton,34.168451,-111.66
Mike Person,47.105,-104.71
Coleman Shelton,34.05,-118.24
Jeff Wilson,31.62,-95.57
Corey Griffin,33.749,-84.39
Najee Toran,34.05,-118.24
Alan Knott,33.47,-84.59
Jack Heneghan,44.67,-63.57
Emmanuel Moseley,35.83,-86.31
Tarvarus McFadden,26.122,-80.14
Niles Scott,39.606,-75.833
Terrell Williams,29.75,-95.367
Ross Dwelley,29.40,-110.609
Steven Dunbar Jr.,29.99,-90.15
Richie James Jr.,27.33,-82.53
Jullian Taylor,40.01,-75.13
Marcell Harris,28.54,-81.3
D.J. Reed Jr.,35.37,-19.01
Tarvarius Moore,32.04,-88.72
Fred Warner,29.88,-97.94
Dante Pettis,33.42,-117.61
Mike McGlinchey,40.01,-75.13
Korey Toomer,36.16,-115.14
Jonathan Cooper,34.22,-77.94
Jeff Locke,50.11,8.67
Jeremiah Attaochu,10.34,11.93
Weston Richburg,38.25,-85.75
Jerick McKinnon,33.74,-84.39
Richard Sherman,33.89,-118.22
Malcolm Johnson,33.26,-87.48
Elijah Lee,39.08,-94.56
Mark Nzeocha,49.36,10.21
Bradley Pinion,35.40,-80.57
Tyvis Powell,41.39,-81.53
Aldrick Robinson,32.38,-96.84
Joe Staley,43.11,-85.55
Malcolm Smith,34.22,-118.53
Andrew Lauderdale,35.40,-80.57
Ahkello Witherspoon,32.74,-117.06
Joe Williams,40.60,-75.47
K'Waun Williams,40.91,-74.17
Darrell Williams Jr.,32.54,-82.90
Cole Wick,29.44,-96.93
Dekoda Watson,33.57,-81.61
Max McCaffrey,39.37,-104.85
Jimmie Ward,42.72,-87.78
Laken Tomlinson,18.21,-78.13
Solomon Thomas,41.87,-87.62
Trent Taylor,36.16,-85.50
Jeremy McNichols,33.77,-118.18
Pita Taumoepenu,32.83,-97.08
Greg Mabin,26.12,-80.14
Jaquiski Tartt,30.64,-88.19
Erik Magnuson,32.71,-117.16
Cassius Marsh,34.25,-118.46
Chanceller James,43.60,-116.2
Kyle Nelson,35.22,-97.43
Pace Murphy,29.75,-95.36
Joshua Garnett,47.30,-122.23
Earl Mitchell,29.75,-95.36
Cole Hikutini,37.76,-122.46
Eli Harold,36.85,-75.97
Raheem Mostert,29.02,-80.92
Robbie Gould,41.2,-77.26
Nick Mullens,33.38,-86.80
Marquise Goodwin,33.57,-101.85
Garry Gilliam,40.26,-76.88
George Kittle,43.07,-89.38
Reuben Foster,32.36,-86.30
Antone Exum Jr.,37.58,-77.43
Sheldon Day,39.76,-86.15
Brock Coyle,45.68,-111.04
Adrian Colbert,33.91,-98.49
Garrett Celek,39.48,-83.95
Aaron Burbridge,42.46,-83.35
DeForest Buckner,21.44,-158.18
Kendrick Bourne,45.52,-122.67
Matt Breida,27.93,-82.28
Victor Bolden Jr.,34.09,-117.43
Ronald Blair III,33.57,-83.18
C.J. Beathard,35.92,-86.86
Arik Armstead,38.58,-121.49
D.J. Jones,36.67,-77.55
Pierre Garon,41.42,-73.67
Jimmy Garoppolo,42.08,-87.98
Kyle Juszczyk,41.13,-81.86